baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
567.8539491083671,-6.698320370767968,0.24042671068204702,-27.860133974989914,8.1193166497132995e-171,1.3702970709721137e-166,CHRNA1
319.23437855016965,-4.9008527603778305,0.1974302963023318,-24.823205213008375,5.03607758094469e-136,4.2496940666801764e-132,STAT2
80.91945526815549,-8.719529024500039,0.3646406288060538,-23.912664513141266,2.261478620075651e-126,1.272232489033892e-122,CHRNG
167.85249023365463,-7.514333911189106,0.33712870415405105,-22.289214233610405,4.7017161953823324e-110,1.9837716057366905e-106,KLHL41
284.5015936522264,-7.655499768736208,0.3458989361699107,-22.13218650945984,1.548822090638997e-108,5.2278940847428705e-105,SYNPO2
1336.9355651059814,-7.507462461804422,0.3600538701508799,-20.850942273328247,1.494504270549729e-96,4.203791429011297e-93,ACTC1
178.0479364712281,-6.133619055432634,0.2965310425191296,-20.68457657358739,4.769428000381384e-95,1.1499090908919517e-91,IGDCC4
718.7852714520662,-4.783405463806338,0.23344152566237356,-20.490807923884873,2.6004215411329874e-93,5.485914293712678e-90,ANKRD10
93.45271193551922,-5.776833219400045,0.2905786409994975,-19.880446819936896,6.009628442445413e-88,1.1269388802572358e-84,SERPINF1
212.80490710798537,-4.489463400426804,0.2328979328557704,-19.276527470113056,8.456659544559356e-83,1.4272304313352827e-79,BLCAP
100.43417070691488,-8.272339584042289,0.43258414965763603,-19.123076031771717,1.6225043521360678e-81,2.489364177363674e-78,H19
102.70131714796013,-7.64247612358401,0.4010025864839187,-19.05842102065966,5.593760597836426e-81,7.867158134140447e-78,TNNT2
119.80877975923269,-3.543337137039967,0.19095093008009908,-18.556270637454485,7.257095595845657e-77,9.421384797775935e-74,IFI6
222.54158199721536,-4.802178749917726,0.2616668259083771,-18.3522643088093,3.1663758847602667e-75,3.8170661290785014e-72,PDCD4
323.0304176802344,-4.349155955885309,0.23894889405169426,-18.201197260801766,5.0492068695558575e-74,5.681030955832948e-71,SLF2
82.34332063760371,-6.343637815705232,0.3491713751460531,-18.167691475430324,9.303092192360266e-74,9.813017933154014e-71,SERPINB9
106.68696653543647,-5.955830004759151,0.3279257849510701,-18.16212776817115,1.0295588865147739e-73,1.0221097251594022e-70,MAF
280.99970288985617,-3.649225000657038,0.20266625654044268,-18.006080849126576,1.7455874345525972e-72,1.6366821740524544e-69,NES
90.65275963637104,-4.204359016529589,0.2363962001157591,-17.785222497107775,9.199746133348356e-71,8.171795552237906e-68,SIX1
1438.402787727938,-3.571471105322583,0.20225729805780782,-17.658058026177176,8.822316776720182e-70,7.444712012035325e-67,CALM1
21.51636693043061,-7.861363500127712,0.4454022337924105,-17.650031597712356,1.0169928866177134e-69,8.173232832117689e-67,MYMX
351.651919387083,-3.068424263604033,0.17451953662108108,-17.582124746676545,3.376814782298586e-69,2.590477412766056e-66,PSME1
30.229534678977178,-8.463289940689734,0.48553789199368713,-17.430750679289456,4.820895849604472e-68,3.5374895327728115e-65,SHD
66.78573760765991,-7.945653409170228,0.45668118840572225,-17.398687773649204,8.441461552956439e-68,5.93610610955191e-65,ADAMTS5
214.27230102319473,-4.147375385389246,0.24054705143325206,-17.24143098274508,1.2978411181577025e-66,8.761465820459018e-64,BTG1
216.84771247146685,-3.3887547421980417,0.19752542804460033,-17.156043025675036,5.664388798904707e-66,3.676841913812106e-63,ZFP36L1
323.8214994517367,-4.170251794639225,0.24394575520848497,-17.09499634898412,1.6170616871045168e-65,1.010783336787516e-62,SULF1
302.59036658325056,-3.402851158852345,0.20053986741560223,-16.96845222202236,1.4058890670944655e-64,8.473996351911891e-62,C4orf3
126.73556329829887,-5.181299158252901,0.3067887950382298,-16.88881485259996,5.438448235848253e-64,3.1649893405658956e-61,ASS1
102.64769882087563,-6.060170558105109,0.36094098001569136,-16.78992104981167,2.89229380281213e-63,1.6271080836686772e-60,OLFML2B
214.35917441932227,-3.394868966770026,0.2050434499002696,-16.556827191608633,1.4293534634927676e-61,7.781676904312076e-59,IFI16
134.4443158143494,-4.025624665848074,0.24460209940412675,-16.45785001704755,7.367104101157852e-61,3.8854567473512835e-58,YPEL5
206.70984640391336,-3.3734176721022187,0.20613930514691886,-16.364747468698067,3.4144112087421187e-60,1.7462126657557798e-57,JAM3
109.0256922962715,-3.821584872926269,0.23387840491032133,-16.340050182878677,5.121073873093115e-60,2.542010698711544e-57,SLC38A6
44.765029462020834,-3.6574028730849464,0.22410389138690479,-16.320122111447912,7.099345697947138e-60,3.42330449555011e-57,COX7A1
228.0358278945843,-3.0739116832615165,0.19114398285161524,-16.08165550075301,3.430867030811012e-58,1.6084095244165959e-55,NPEPPS
51.241817116390656,-4.652212324974441,0.29009480053441206,-16.03686903868716,7.06263460179857e-58,3.2215157885014724e-55,TNNT1
83.626917396502,4.7152989432958305,0.2958288476878937,15.939280364809388,3.3822632304218405e-57,1.5021699089428791e-54,RAB3B
91.64245195678332,-3.9498532955427628,0.24857210426521445,-15.890171212971106,7.412484228837436e-57,3.207705034104857e-54,ECH1
70.30193742563817,-4.01787357484972,0.25694370220493573,-15.637174759960079,4.063610307635586e-55,1.714538779049145e-52,ABI3BP
383.72192910084556,4.39785148017193,0.2813030533551432,15.633856183635771,4.280928872856021e-55,1.7621765021266114e-52,CRIM1
107.43649734279757,-5.0955236984023875,0.3268283605589833,-15.590824767126623,8.404146526272052e-55,3.3770662124736524e-52,FGD4
65.85473414981453,-5.259768543867464,0.3377611566324623,-15.572449467867395,1.1203343211521683e-54,4.3971819390895685e-52,DUSP4
200.28962932984072,-3.66477552299648,0.23536650188515285,-15.570505971086355,1.1549003475264174e-54,4.429830264818942e-52,PLSCR1
125.04129329922239,-4.101873303049201,0.2640636027892217,-15.533656512000857,2.053303720356012e-54,7.700801530766314e-52,COL3A1
106.28955571092118,-3.753665922813043,0.24239222628957516,-15.485917103334437,4.31859908305727e-54,1.5844564505382075e-51,MAN2A1
141.00630731284136,-5.231838729939604,0.33921507767225173,-15.423367280255702,1.1400193367549364e-53,4.093639648172992e-51,DCN
16.154738279109928,-7.159702752686951,0.46643018215534027,-15.349998834986366,3.541927599485326e-53,1.245356502010705e-50,FITM1
293.2551796527884,-4.68465674952224,0.30626223480675,-15.296227275551086,8.101900731768754e-53,2.7905260948992096e-50,EGR1
3174.4773831345615,-2.5409578784523887,0.16656880227497534,-15.254704625045699,1.5318664253882086e-52,5.1706619322553595e-50,B2M
